id,score,store,text,userName,version,category,isGeneric,sentiment,subcategory,date,time
39f3958d-3ace-42e4-8feb-b799e9f254e7,1,google,"quando vcs vao arrumar o aplicativo? Manter tanto tempo o app sem opções de retirada é crime, apropriaçao indébita.",Leonardo A Gerbelli,4.62.110,Complaint,0,Negative,Performance,2024-08-19,13:00:12
37a0c658-ef11-49b8-a784-b27f42e7ea39,4,google,Ok,Rodrigo Prodossimo,4.62.110,Compliment,1,Positive,Generic compliment,2024-08-19,12:42:05
8db5accc-380e-41aa-be0c-ac6ea6e38a8d,1,google,"Faz uma semana que estou com app, até agora não consigui me cadastrar, vem uma mensagem que estão com problemas pra finalizar",Igor Machado,4.62.110,Complaint,0,Negative,Login,2024-08-19,11:57:28
086b8680-c871-4f14-9fa3-0ebe55a0c965,1,google,"CONTINUA NÃO FUNCIONANDO, O SUPORTE INFORMADO CONTINUA NÃO ATENDENDO, CONTINUO TENTANDO E NADA! A SOLUÇÃO INFORMAFA NA RESPOSTA NESTE CANAL NAO FUNCIONA. NEM NO RECLAME AQUI"" É POSSÍVEL RECLAMAR. FRIA TOTAL P U L E M F O R A D E S S A ! ! !""",Jeff Jr.,4.62.110,Complaint,0,Negative,Performance,2024-08-19,11:53:24
d1fc787b-127c-47e4-8324-9885247336c6,5,google,Muito bom.,Jair Cabral,4.62.110,Compliment,1,Positive,Generic compliment,2024-08-19,11:43:27
c49e6d64-aa7d-4f1f-9d6b-dfa5f9f6d060,5,google,Muito vários descontos já,Jan Santana,4.62.110,Compliment,0,Positive,Generic compliment,2024-08-19,11:41:55
143cb451-82ef-498c-a8db-bfbffcb6749c,1,google,"Em 2022 tinha falado aqui que em cada 10 vezes, 2 ficava fora do ar, agora em 2024 de 10, 9 está fora do ar (o que eu não acredito) aplicativo já foi melhor, está péssimo agora, estou usando o aplicativo de desconto da 99, uma vergonha o uber fazer parceiria com um app tão péssimo",Leandro Müller,4.61.115,Complaint,0,Negative,Performance,2024-08-19,11:37:59
4476c31a-4a68-41cd-a584-c8da6faaae36,1,google,Não consigo resgatar meus créditos já faz mais de 10 dias,GILDA ELISA RODRIGUES DE MORAES,4.62.110,Complaint,0,Negative,Login,2024-08-19,11:26:09
7af0858d-2b36-499a-8f29-8ef0c696eb71,1,google,Péssimo! Já tem dias que estou tentando fazer o cadastro e da indisponibilidade de sistema.,Demetrius França,4.62.110,Complaint,0,Negative,Login,2024-08-19,11:10:20
ee951364-4781-4485-962a-b769a0d63cc6,1,google,Estou tentando fazer cadastro há uma semana e sempre dá erro.,Douglas de Paula Ferreira,4.62.110,Complaint,0,Negative,Performance,2024-08-19,10:45:09
